date_heure_dernier_changement,date_heure_creation,departement,latitude,longitude,id,direction,equipement,date_installation,type,emplacement,route,longueur_troncon_km,vitesse_vehicules_legers_kmh,vitesse_poids_lourds_kmh
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,80,49.95842,2.85479,19639,PARIS VERS LILLE,MORPHO,2003-11-05T16:19:44Z,Radar fixe,HEM MONACU,A1,,130,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,91,48.67029,2.27976,19640,PARIS VERS MONTLHERY,MORPHO,2003-10-31T16:19:45Z,Radar fixe,LA VILLE DU BOIS,RN20,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,91,48.63212,2.4065,19641,PARIS VERS CORBEIL ESSONNES,MORPHO,2003-10-31T16:19:45Z,Radar fixe,COURCOURONNES,A6,,110,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,78,48.83313,2.08501,19642,TRAPPES VERS PARIS,MORPHO,2003-10-30T16:19:45Z,Radar fixe,BAILLY,A12,,110,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,86,46.55504,0.28379,19643,BORDEAUX VERS PARIS,MORPHO,2003-11-04T16:19:45Z,Radar fixe,VOUNEUIL SOUS BIARD,A10,,130,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,67,48.57066,7.73904,19644,STRASBOURG VERS PARIS,MORPHO,2003-10-31T16:19:45Z,Radar fixe,STRASBOURG,RN4,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,67,48.67772,7.77558,19645,STRASBOURG VERS LAUTERBOURG,MORPHO,2003-10-31T16:19:45Z,Radar fixe,HOERDT,A35,,130,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,57,49.27277,6.17428,19646,THIONVILLE vers METZ,MORPHO,2003-11-06T16:19:45Z,Radar fixe,RICHEMONT,A31,,110,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,57,49.12731,6.1618,19647,METZ vers THIONVILLE,MORPHO,2003-11-06T16:19:45Z,Radar fixe,METZ,A31,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,49,47.48393,-0.54887,19648,ANGERS VERS NANTES,MORPHO,2003-11-14T16:19:45Z,Radar fixe,ANGERS,RD323,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,92,48.88743,2.2516,19649,PROVINCE VERS PARIS,MORPHO,2003-11-25T16:19:45Z,Radar fixe,PUTEAUX,RN1014,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,91,48.70775,2.19009,19650,PARIS VERS LES ULIS,MORPHO,2003-11-14T16:19:45Z,Radar fixe,ORSAY,RN118,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,92,48.8869,2.24157,19651,ST GERMAIN EN LAYE VERS PARIS,MORPHO,2003-12-04T16:19:45Z,Radar fixe,PUTEAUX,RD993,,50,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,75,48.822,2.37965,19652,INTERIEUR,MORPHO,2004-01-24T16:19:45Z,Radar fixe,PARIS,BP-QUAI D'IVRY,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,75,48.82352,2.31005,19653,EXTERIEUR,MORPHO,2004-01-10T16:19:45Z,Radar fixe,PARIS,BP-CHATILLON,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,75,48.8543,2.25437,19654,EXTERIEUR,MORPHO,2004-02-13T16:19:45Z,Radar fixe,PARIS,BP-PTE PASSY,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,86,46.62896,0.35564,19655,CHATELLERAULT VERS POITIERS,MORPHO,2003-11-28T16:19:45Z,Radar fixe,MIGNE AUXANCES,RD910,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,64,43.5135,-1.46733,19656,BAYONNE VERS LANDES,MORPHO,2003-12-29T16:19:45Z,Radar fixe,BAYONNE,RD810,,80,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,14,49.17486,-0.31164,19657,PARIS VERS CHERBOURG OCTEVILLE,MORPHO,2003-12-01T16:19:45Z,Radar fixe,MONDEVILLE,RN814,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,94,48.7741,2.40784,19658,VERSAILLES VERS CRETEIL,MORPHO,2004-01-06T16:19:45Z,Radar fixe,VITRY SUR SEINE,A86,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,57,49.1069,6.14738,19659,NANCY vers THIONVILLE,MORPHO,2003-12-18T16:19:46Z,Radar fixe,MONTIGNY LES METZ,A31,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,75,48.89645,2.30974,19660,PERIPHERIQUE EXTERIEUR,MORPHO,2004-02-14T16:19:46Z,Radar fixe,PARIS,BP-CLICHY,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,13,43.38001,5.35354,19661,LYON VERS MARSEILLE,MORPHO,2003-12-23T16:19:46Z,Radar fixe,MARSEILLE,A7,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,71,46.31121,4.83825,19662,CHALON SUR SAONE VERS LYON,MORPHO,2003-12-10T16:19:46Z,Radar fixe,MACON,RD906,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,75,48.89004,2.39613,19663,EXTERIEUR,MORPHO,2004-01-10T16:19:46Z,Radar fixe,PARIS,BP-PANTIN,,70,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,94,48.8167,2.44854,19664,PARIS VERS PONTAULT COMBAULT,MORPHO,2003-12-16T16:19:46Z,Radar fixe,ST MAURICE,A4,,90,
2023-02-08T15:19:43Z,2021-11-18T09:51:47Z,16,45.61721,0.1006,19665,BORDEAUX VERS PARIS,MORPHO,2003-12-16T16:19:46Z,Radar fixe,LA COURONNE,RN10,,110,
